,Time (UTC+10),Regions VIC Trading Price ($/MWh),charging_or_not,discharging_or_not,raw_power,market_dispatch,opening_capacity,closing_capacity,revenue
49009,2020-10-18 00:30:00,44.09,0,1,266,119,120,0,5199
49010,2020-10-18 01:00:00,40.82,0,0,0,0,0,0,0
49011,2020-10-18 01:30:00,40.61,0,0,0,0,0,0,0
49012,2020-10-18 02:00:00,38.72,0,0,0,0,0,0,0
49013,2020-10-18 02:30:00,40.98,0,0,0,0,0,0,0
49014,2020-10-18 03:00:00,37.67,1,0,-300,-150,0,135,-5702
49015,2020-10-18 03:30:00,37.01,1,0,-300,-150,135,270,-5602
49016,2020-10-18 04:00:00,41.03,0,0,0,0,270,270,0
49017,2020-10-18 04:30:00,41.07,0,0,0,0,270,270,0
49018,2020-10-18 05:00:00,42.33,0,1,300,135,270,120,5663
49019,2020-10-18 05:30:00,41.87,0,1,266,119,120,0,4938
49020,2020-10-18 06:00:00,41.88,0,1,0,0,0,0,0
49021,2020-10-18 06:30:00,38.12,0,0,0,0,0,0,0
49022,2020-10-18 07:00:00,41.34,0,1,0,0,0,0,0
49023,2020-10-18 07:30:00,41.18,0,1,0,0,0,0,0
49024,2020-10-18 08:00:00,41.85,0,1,0,0,0,0,0
49025,2020-10-18 08:30:00,40.05,0,1,0,0,0,0,0
49026,2020-10-18 09:00:00,39.85,0,1,0,0,0,0,0
49027,2020-10-18 09:30:00,38.8,0,1,0,0,0,0,0
49028,2020-10-18 10:00:00,40.39,0,1,0,0,0,0,0
49029,2020-10-18 10:30:00,38.52,0,1,0,0,0,0,0
49030,2020-10-18 11:00:00,36.91,0,1,0,0,0,0,0
49031,2020-10-18 11:30:00,36.87,0,1,0,0,0,0,0
49032,2020-10-18 12:00:00,32.25,0,0,0,0,0,0,0
49033,2020-10-18 12:30:00,33.54,0,0,0,0,0,0,0
49034,2020-10-18 13:00:00,24.14,0,0,0,0,0,0,0
49035,2020-10-18 13:30:00,13.05,1,0,-300,-150,0,135,-1975
49036,2020-10-18 14:00:00,21.64,1,0,-300,-150,135,270,-3275
49037,2020-10-18 14:30:00,15.34,1,0,-300,-150,270,405,-2322
49038,2020-10-18 15:00:00,17.6,1,0,-300,-150,405,540,-2664
49039,2020-10-18 15:30:00,37.77,1,0,-88,-44,540,580,-1677
49040,2020-10-18 16:00:00,36.86,1,0,0,0,580,580,0
49041,2020-10-18 16:30:00,34.51,1,0,0,0,580,580,0
49042,2020-10-18 17:00:00,43.25,0,0,0,0,580,580,0
49043,2020-10-18 17:30:00,46.05,0,0,0,0,580,580,0
49044,2020-10-18 18:00:00,49.57,0,0,0,0,580,580,0
49045,2020-10-18 18:30:00,58.3,0,1,300,135,580,430,7800
49046,2020-10-18 19:00:00,63.27,0,1,300,135,430,280,8465
49047,2020-10-18 19:30:00,63.42,0,1,300,135,280,130,8485
49048,2020-10-18 20:00:00,54.58,0,1,288,129,130,0,6977
49049,2020-10-18 20:30:00,52.35,0,1,0,0,0,0,0
49050,2020-10-18 21:00:00,43.19,0,1,0,0,0,0,0
49051,2020-10-18 21:30:00,40.06,1,0,-300,-150,0,135,-6064
49052,2020-10-18 22:00:00,40.58,0,0,0,0,135,135,0
49053,2020-10-18 22:30:00,39.58,1,0,-300,-150,135,270,-5991
49054,2020-10-18 23:00:00,41.28,0,0,0,0,270,270,0
49055,2020-10-18 23:30:00,41.37,0,0,0,0,270,270,0
49056,2020-10-19 00:00:00,42.57,0,0,0,0,270,270,0
49057,2020-10-19 00:30:00,42.18,0,0,0,0,270,270,0
49058,2020-10-19 01:00:00,42.84,0,0,0,0,270,270,0
49059,2020-10-19 01:30:00,41.26,0,0,0,0,270,270,0
49060,2020-10-19 02:00:00,40.79,1,0,-300,-150,270,405,-6174
49061,2020-10-19 02:30:00,41.23,1,0,-300,-150,405,540,-6241
49062,2020-10-19 03:00:00,38.89,1,0,-88,-44,540,580,-1727
49063,2020-10-19 03:30:00,40.99,1,0,0,0,580,580,0
49064,2020-10-19 04:00:00,44.4,0,0,0,0,580,580,0
49065,2020-10-19 04:30:00,44.57,1,0,0,0,580,580,0
49066,2020-10-19 05:00:00,46.22,0,0,0,0,580,580,0
49067,2020-10-19 05:30:00,54.43,0,0,0,0,580,580,0
49068,2020-10-19 06:00:00,78.88,0,0,0,0,580,580,0
49069,2020-10-19 06:30:00,77.32,0,0,0,0,580,580,0
49070,2020-10-19 07:00:00,116.36,0,1,300,135,580,430,15567
49071,2020-10-19 07:30:00,50.14,0,0,0,0,430,430,0
49072,2020-10-19 08:00:00,45.85,0,0,0,0,430,430,0
49073,2020-10-19 08:30:00,43.04,1,0,-300,-150,430,565,-6515
49074,2020-10-19 09:00:00,42.1,1,0,-33,-16,565,579,-680
49075,2020-10-19 09:30:00,45.78,0,0,0,0,579,579,0
49076,2020-10-19 10:00:00,43.56,0,0,0,0,579,579,0
49077,2020-10-19 10:30:00,92.84,0,1,300,135,579,429,12421
49078,2020-10-19 11:00:00,78.88,0,1,300,135,429,279,10553
49079,2020-10-19 11:30:00,56.12,0,1,300,135,279,129,7508
49080,2020-10-19 12:00:00,61.27,0,1,286,128,129,0,7772
49081,2020-10-19 12:30:00,62.32,0,1,0,0,0,0,0
49082,2020-10-19 13:00:00,44.9,0,0,0,0,0,0,0
49083,2020-10-19 13:30:00,37.92,1,0,-300,-150,0,135,-5740
49084,2020-10-19 14:00:00,39.08,1,0,-300,-150,135,270,-5915
49085,2020-10-19 14:30:00,38.74,1,0,-300,-150,270,405,-5864
49086,2020-10-19 15:00:00,38.66,1,0,-300,-150,405,540,-5852
49087,2020-10-19 15:30:00,40.67,1,0,-88,-44,540,580,-1806
49088,2020-10-19 16:00:00,43.23,1,0,0,0,580,580,0
49089,2020-10-19 16:30:00,39.55,1,0,0,0,580,580,0
49090,2020-10-19 17:00:00,45.06,0,0,0,0,580,580,0
49091,2020-10-19 17:30:00,50.24,0,0,0,0,580,580,0
49092,2020-10-19 18:00:00,56.06,0,0,0,0,580,580,0
49093,2020-10-19 18:30:00,67.9,0,0,0,0,580,580,0
49094,2020-10-19 19:00:00,80.07,0,1,300,135,580,430,10712
49095,2020-10-19 19:30:00,71.31,0,1,300,135,430,280,9540
49096,2020-10-19 20:00:00,90.6,0,1,300,135,280,130,12121
49097,2020-10-19 20:30:00,54.79,0,1,288,129,130,0,7004
49098,2020-10-19 21:00:00,45.56,0,1,0,0,0,0,0
49099,2020-10-19 21:30:00,42.11,0,0,0,0,0,0,0
49100,2020-10-19 22:00:00,42.13,0,0,0,0,0,0,0
49101,2020-10-19 22:30:00,43.51,0,0,0,0,0,0,0
49102,2020-10-19 23:00:00,44.01,0,0,0,0,0,0,0
49103,2020-10-19 23:30:00,71.62,0,1,0,0,0,0,0
49104,2020-10-20 00:00:00,47.16,0,1,0,0,0,0,0
49105,2020-10-20 00:30:00,43.89,0,1,0,0,0,0,0
49106,2020-10-20 01:00:00,43.25,0,0,0,0,0,0,0
49107,2020-10-20 01:30:00,43.3,0,0,0,0,0,0,0
49108,2020-10-20 02:00:00,41.5,0,0,0,0,0,0,0
49109,2020-10-20 02:30:00,41.78,0,0,0,0,0,0,0
49110,2020-10-20 03:00:00,39.22,1,0,-300,-150,0,135,-5936
49111,2020-10-20 03:30:00,39.47,1,0,-300,-150,135,270,-5974
49112,2020-10-20 04:00:00,38.21,1,0,-300,-150,270,405,-5784
49113,2020-10-20 04:30:00,41.94,1,0,-300,-150,405,540,-6348
49114,2020-10-20 05:00:00,44.57,1,0,-88,-44,540,580,-1979
49115,2020-10-20 05:30:00,60.82,0,0,0,0,580,580,0
49116,2020-10-20 06:00:00,70.49,0,0,0,0,580,580,0
49117,2020-10-20 06:30:00,78.02,0,1,300,135,580,430,10438
49118,2020-10-20 07:00:00,70.49,0,1,300,135,430,280,9431
49119,2020-10-20 07:30:00,45.07,0,0,0,0,280,280,0
49120,2020-10-20 08:00:00,73.63,0,1,300,135,280,130,9851
49121,2020-10-20 08:30:00,42.57,0,0,0,0,130,130,0
49122,2020-10-20 09:00:00,45.22,0,0,0,0,130,130,0
49123,2020-10-20 09:30:00,46.3,0,0,0,0,130,130,0
49124,2020-10-20 10:00:00,53.16,0,0,0,0,130,130,0
49125,2020-10-20 10:30:00,62.33,0,1,288,129,130,0,7968
49126,2020-10-20 11:00:00,56.16,0,1,0,0,0,0,0
49127,2020-10-20 11:30:00,49.99,0,1,0,0,0,0,0
49128,2020-10-20 12:00:00,53.48,0,1,0,0,0,0,0
49129,2020-10-20 12:30:00,38.6,0,0,0,0,0,0,0
49130,2020-10-20 13:00:00,36.62,1,0,-300,-150,0,135,-5543
49131,2020-10-20 13:30:00,35.21,1,0,-300,-150,135,270,-5329
49132,2020-10-20 14:00:00,36.46,1,0,-300,-150,270,405,-5519
49133,2020-10-20 14:30:00,37.34,1,0,-300,-150,405,540,-5652
49134,2020-10-20 15:00:00,38.16,1,0,-88,-44,540,580,-1694
49135,2020-10-20 15:30:00,38.71,1,0,0,0,580,580,0
49136,2020-10-20 16:00:00,39.98,1,0,0,0,580,580,0
49137,2020-10-20 16:30:00,42.19,1,0,0,0,580,580,0
49138,2020-10-20 17:00:00,57.93,1,0,0,0,580,580,0
49139,2020-10-20 17:30:00,65.2,1,0,0,0,580,580,0
49140,2020-10-20 18:00:00,186.91,0,1,300,135,580,430,25006
49141,2020-10-20 18:30:00,225.54,0,1,300,135,430,280,30174
49142,2020-10-20 19:00:00,206.76,0,1,300,135,280,130,27661
49143,2020-10-20 19:30:00,84.38,0,1,288,129,130,0,10787
49144,2020-10-20 20:00:00,72.63,0,0,0,0,0,0,0
49145,2020-10-20 20:30:00,66.92,0,0,0,0,0,0,0
49146,2020-10-20 21:00:00,71.27,0,0,0,0,0,0,0
49147,2020-10-20 21:30:00,106.43,0,1,0,0,0,0,0
49148,2020-10-20 22:00:00,59.82,0,0,0,0,0,0,0
49149,2020-10-20 22:30:00,66.65,0,1,0,0,0,0,0
49150,2020-10-20 23:00:00,54.71,1,0,-300,-150,0,135,-8281
49151,2020-10-20 23:30:00,61.82,0,0,0,0,135,135,0
49152,2020-10-21 00:00:00,92.08,0,1,300,135,135,0,12319
49153,2020-10-21 00:30:00,54.69,1,0,-300,-150,0,135,-8278
49154,2020-10-21 01:00:00,52.5,1,0,-300,-150,135,270,-7947
49155,2020-10-21 01:30:00,58.66,0,0,0,0,270,270,0
49156,2020-10-21 02:00:00,57.39,1,0,-300,-150,270,405,-8687
49157,2020-10-21 02:30:00,58.07,1,0,-300,-150,405,540,-8790
49158,2020-10-21 03:00:00,59.94,1,0,-88,-44,540,580,-2661
49159,2020-10-21 03:30:00,58.11,1,0,0,0,580,580,0
49160,2020-10-21 04:00:00,64.4,0,0,0,0,580,580,0
49161,2020-10-21 04:30:00,87.74,0,0,0,0,580,580,0
49162,2020-10-21 05:00:00,150.26,0,0,0,0,580,580,0
49163,2020-10-21 05:30:00,249.86,0,1,300,135,580,430,33428
49164,2020-10-21 06:00:00,222.62,0,1,300,135,430,280,29783
49165,2020-10-21 06:30:00,311.33,0,1,300,135,280,130,41651
49166,2020-10-21 07:00:00,301.8,0,1,288,129,130,0,38582
49167,2020-10-21 07:30:00,177.98,0,1,0,0,0,0,0
49168,2020-10-21 08:00:00,56.86,0,1,0,0,0,0,0
49169,2020-10-21 08:30:00,50.84,0,1,0,0,0,0,0
