Time (UTC+10),Regions VIC Trading Price ($/MWh),Regions VIC Trading Total Intermittent Generation (MW),Regions VIC Operational Demand (MW),Time,Hour,Day
2018-01-05 16:00:00,109.68,67.7,6343,16:00:00,16,5
2018-01-05 16:30:00,109.39,61.02,6442,16:30:00,16,5
2018-01-05 17:00:00,128.02,53.62,6612,17:00:00,17,5
2018-01-05 17:30:00,115.64,49.25,6563,17:30:00,17,5
2018-01-05 18:00:00,150.99,46.83,6625,18:00:00,18,5
2018-01-05 18:30:00,146.27,42.18,6575,18:30:00,18,5
2018-01-05 19:00:00,106.28,35.98,6456,19:00:00,19,5
2018-01-05 19:30:00,84.57,34.45,6195,19:30:00,19,5
2018-01-05 20:00:00,99.45,23.82,6058,20:00:00,20,5
2018-01-05 20:30:00,97.58,28.41,5885,20:30:00,20,5
2018-01-05 21:00:00,80.73,28.99,5736,21:00:00,21,5
2018-01-05 21:30:00,77.38,26.88,5502,21:30:00,21,5
2018-01-05 22:00:00,76.58,38.9,5285,22:00:00,22,5
2018-01-05 22:30:00,65.34,50.08,5072,22:30:00,22,5
2018-01-05 23:00:00,68.11,69.23,4946,23:00:00,23,5
2018-01-05 23:30:00,69.87,75.22,5105,23:30:00,23,5
2018-01-06 00:00:00,66.67,67.83,5044,00:00:00,0,6
2018-01-06 00:30:00,66.99,73.22,4804,00:30:00,0,6
2018-01-06 01:00:00,59.36,97.13,4625,01:00:00,1,6
2018-01-06 01:30:00,54.38,124.41,4480,01:30:00,1,6
2018-01-06 02:00:00,48.43,150.13,4352,02:00:00,2,6
2018-01-06 02:30:00,38.51,195.93,4224,02:30:00,2,6
2018-01-06 03:00:00,33.7,257.17,4162,03:00:00,3,6
2018-01-06 03:30:00,35.36,276.6,4091,03:30:00,3,6
2018-01-06 04:00:00,36.97,303.79,4121,04:00:00,4,6
2018-01-06 04:30:00,37.96,324.45,4213,04:30:00,4,6
2018-01-06 05:00:00,36.0,311.09,4256,05:00:00,5,6
2018-01-06 05:30:00,35.89,314.89,4316,05:30:00,5,6
2018-01-06 06:00:00,37.78,309.08,4384,06:00:00,6,6
2018-01-06 06:30:00,49.49,318.57,4541,06:30:00,6,6
2018-01-06 07:00:00,52.53,324.83,4707,07:00:00,7,6
2018-01-06 07:30:00,55.08,309.05,4793,07:30:00,7,6
2018-01-06 08:00:00,58.68,304.06,4965,08:00:00,8,6
2018-01-06 08:30:00,61.47,313.2,5195,08:30:00,8,6
2018-01-06 09:00:00,67.79,370.07,5461,09:00:00,9,6
2018-01-06 09:30:00,78.25,392.56,5685,09:30:00,9,6
2018-01-06 10:00:00,82.96,397.13,5948,10:00:00,10,6
2018-01-06 10:30:00,72.1,391.55,6176,10:30:00,10,6
2018-01-06 11:00:00,64.6,386.46,6408,11:00:00,11,6
2018-01-06 11:30:00,73.13,373.89,6612,11:30:00,11,6
2018-01-06 12:00:00,71.96,359.9,6755,12:00:00,12,6
2018-01-06 12:30:00,76.06,333.85,6940,12:30:00,12,6
2018-01-06 13:00:00,86.09,330.65,7109,13:00:00,13,6
2018-01-06 13:30:00,82.64,323.89,7281,13:30:00,13,6
2018-01-06 14:00:00,85.54,290.23,7445,14:00:00,14,6
2018-01-06 14:30:00,87.83,269.1,7598,14:30:00,14,6
2018-01-06 15:00:00,96.44,257.18,7753,15:00:00,15,6
2018-01-06 15:30:00,99.85,222.92,7936,15:30:00,15,6
2018-01-06 16:00:00,106.35,138.23,8094,16:00:00,16,6
2018-01-06 16:30:00,111.8,131.1,8101,16:30:00,16,6
2018-01-06 17:00:00,102.51,228.97,8059,17:00:00,17,6
2018-01-06 17:30:00,91.14,348.1,7624,17:30:00,17,6
2018-01-06 18:00:00,92.48,293.88,7278,18:00:00,18,6
2018-01-06 18:30:00,94.44,243.88,6973,18:30:00,18,6
2018-01-06 19:00:00,100.53,258.7,6649,19:00:00,19,6
2018-01-06 19:30:00,98.15,276.13,6403,19:30:00,19,6
2018-01-06 20:00:00,89.99,251.05,6208,20:00:00,20,6
2018-01-06 20:30:00,87.95,252.75,6146,20:30:00,20,6
2018-01-06 21:00:00,84.85,232.59,5997,21:00:00,21,6
2018-01-06 21:30:00,79.41,222.28,5769,21:30:00,21,6
2018-01-06 22:00:00,67.25,237.71,5518,22:00:00,22,6
2018-01-06 22:30:00,71.34,217.15,5297,22:30:00,22,6
2018-01-06 23:00:00,67.42,215.5,5112,23:00:00,23,6
2018-01-06 23:30:00,71.55,210.32,5163,23:30:00,23,6
2018-01-07 00:00:00,83.63,202.42,5025,00:00:00,0,7
2018-01-07 00:30:00,66.92,193.05,4749,00:30:00,0,7
2018-01-07 01:00:00,69.28,197.7,4570,01:00:00,1,7
2018-01-07 01:30:00,59.87,168.48,4442,01:30:00,1,7
2018-01-07 02:00:00,54.62,155.71,4272,02:00:00,2,7
2018-01-07 02:30:00,53.76,123.28,4162,02:30:00,2,7
2018-01-07 03:00:00,53.09,108.12,4068,03:00:00,3,7
2018-01-07 03:30:00,54.41,120.87,4030,03:30:00,3,7
2018-01-07 04:00:00,52.99,107.12,4060,04:00:00,4,7
2018-01-07 04:30:00,52.82,94.33,4077,04:30:00,4,7
2018-01-07 05:00:00,49.79,113.74,4076,05:00:00,5,7
2018-01-07 05:30:00,52.57,117.85,4078,05:30:00,5,7
2018-01-07 06:00:00,53.47,110.98,4066,06:00:00,6,7
2018-01-07 06:30:00,52.47,119.68,4099,06:30:00,6,7
2018-01-07 07:00:00,54.42,101.75,4170,07:00:00,7,7
2018-01-07 07:30:00,59.55,116.9,4184,07:30:00,7,7
2018-01-07 08:00:00,64.85,160.77,4258,08:00:00,8,7
2018-01-07 08:30:00,71.57,176.22,4377,08:30:00,8,7
2018-01-07 09:00:00,83.86,143.4,4457,09:00:00,9,7
2018-01-07 09:30:00,82.87,82.87,4531,09:30:00,9,7
2018-01-07 10:00:00,79.59,36.76,4559,10:00:00,10,7
2018-01-07 10:30:00,82.66,56.05,4559,10:30:00,10,7
2018-01-07 11:00:00,85.88,78.68,4567,11:00:00,11,7
2018-01-07 11:30:00,77.65,105.74,4536,11:30:00,11,7
2018-01-07 12:00:00,90.67,76.12,4539,12:00:00,12,7
2018-01-07 12:30:00,87.49,61.84,4544,12:30:00,12,7
2018-01-07 13:00:00,87.65,50.09,4581,13:00:00,13,7
2018-01-07 13:30:00,88.05,46.92,4567,13:30:00,13,7
2018-01-07 14:00:00,90.87,49.4,4616,14:00:00,14,7
2018-01-07 14:30:00,93.31,54.12,4670,14:30:00,14,7
2018-01-07 15:00:00,105.33,65.22,4755,15:00:00,15,7
2018-01-07 15:30:00,110.22,64.77,4832,15:30:00,15,7
2018-01-07 16:00:00,106.82,63.81,4896,16:00:00,16,7
2018-01-07 16:30:00,117.24,70.42,4994,16:30:00,16,7
2018-01-07 17:00:00,125.39,76.49,5098,17:00:00,17,7
2018-01-07 17:30:00,109.94,77.92,5127,17:30:00,17,7
2018-01-07 18:00:00,98.71,70.23,5144,18:00:00,18,7
2018-01-07 18:30:00,91.68,41.54,5090,18:30:00,18,7
2018-01-07 19:00:00,105.33,33.22,5057,19:00:00,19,7
2018-01-07 19:30:00,97.78,25.93,4983,19:30:00,19,7
2018-01-07 20:00:00,90.13,20.51,4950,20:00:00,20,7
2018-01-07 20:30:00,87.9,18.32,4968,20:30:00,20,7
2018-01-07 21:00:00,82.3,24.66,4860,21:00:00,21,7
2018-01-07 21:30:00,77.87,33.66,4736,21:30:00,21,7
2018-01-07 22:00:00,66.59,33.4,4589,22:00:00,22,7
2018-01-07 22:30:00,92.33,29.72,4479,22:30:00,22,7
2018-01-07 23:00:00,84.28,28.06,4438,23:00:00,23,7
2018-01-07 23:30:00,79.27,25.85,4627,23:30:00,23,7
2018-01-08 00:00:00,96.64,20.54,4632,00:00:00,0,1
2018-01-08 00:30:00,96.04,19.3,4438,00:30:00,0,1
2018-01-08 01:00:00,101.95,34.0,4312,01:00:00,1,1
2018-01-08 01:30:00,66.57,59.59,4206,01:30:00,1,1
2018-01-08 02:00:00,56.5,74.88,4108,02:00:00,2,1
2018-01-08 02:30:00,56.17,108.13,4062,02:30:00,2,1
2018-01-08 03:00:00,55.96,84.81,4010,03:00:00,3,1
2018-01-08 03:30:00,56.38,50.85,4007,03:30:00,3,1
2018-01-08 04:00:00,56.22,51.58,4034,04:00:00,4,1
2018-01-08 04:30:00,60.28,58.78,4157,04:30:00,4,1
2018-01-08 05:00:00,91.8,43.52,4222,05:00:00,5,1
2018-01-08 05:30:00,93.24,53.65,4435,05:30:00,5,1
2018-01-08 06:00:00,105.93,51.61,4629,06:00:00,6,1
2018-01-08 06:30:00,94.39,51.57,4883,06:30:00,6,1
2018-01-08 07:00:00,108.6,41.26,5099,07:00:00,7,1
2018-01-08 07:30:00,81.84,68.35,5176,07:30:00,7,1
2018-01-08 08:00:00,84.96,80.34,5280,08:00:00,8,1
2018-01-08 08:30:00,87.0,68.53,5380,08:30:00,8,1
2018-01-08 09:00:00,87.0,81.96,5382,09:00:00,9,1
2018-01-08 09:30:00,87.0,74.43,5435,09:30:00,9,1
2018-01-08 10:00:00,87.0,49.92,5434,10:00:00,10,1
2018-01-08 10:30:00,91.15,46.55,5493,10:30:00,10,1
2018-01-08 11:00:00,97.84,33.65,5456,11:00:00,11,1
2018-01-08 11:30:00,94.35,25.95,5452,11:30:00,11,1
2018-01-08 12:00:00,92.21,21.17,5431,12:00:00,12,1
2018-01-08 12:30:00,98.01,10.86,5486,12:30:00,12,1
2018-01-08 13:00:00,100.65,5.98,5559,13:00:00,13,1
2018-01-08 13:30:00,101.85,19.11,5593,13:30:00,13,1
2018-01-08 14:00:00,96.5,21.96,5558,14:00:00,14,1
2018-01-08 14:30:00,91.1,23.8,5521,14:30:00,14,1
2018-01-08 15:00:00,95.94,25.59,5493,15:00:00,15,1
2018-01-08 15:30:00,92.27,26.77,5547,15:30:00,15,1
2018-01-08 16:00:00,96.96,28.9,5614,16:00:00,16,1
2018-01-08 16:30:00,95.94,31.1,5747,16:30:00,16,1
2018-01-08 17:00:00,96.91,36.83,5841,17:00:00,17,1
2018-01-08 17:30:00,86.83,38.97,5699,17:30:00,17,1
2018-01-08 18:00:00,87.0,46.26,5604,18:00:00,18,1
2018-01-08 18:30:00,87.0,68.69,5458,18:30:00,18,1
2018-01-08 19:00:00,87.0,105.19,5360,19:00:00,19,1
2018-01-08 19:30:00,87.23,125.94,5266,19:30:00,19,1
2018-01-08 20:00:00,86.96,142.56,5236,20:00:00,20,1
2018-01-08 20:30:00,87.0,155.4,5221,20:30:00,20,1
2018-01-08 21:00:00,86.78,172.84,5089,21:00:00,21,1
2018-01-08 21:30:00,87.0,167.05,4958,21:30:00,21,1
2018-01-08 22:00:00,80.01,163.07,4771,22:00:00,22,1
2018-01-08 22:30:00,85.05,175.24,4643,22:30:00,22,1
2018-01-08 23:00:00,82.94,187.78,4591,23:00:00,23,1
2018-01-08 23:30:00,87.73,168.31,4769,23:30:00,23,1
2018-01-09 00:00:00,85.08,166.85,4761,00:00:00,0,2
2018-01-09 00:30:00,81.79,160.87,4572,00:30:00,0,2
2018-01-09 01:00:00,77.72,142.62,4409,01:00:00,1,2
2018-01-09 01:30:00,77.04,131.03,4293,01:30:00,1,2
2018-01-09 02:00:00,75.53,135.45,4172,02:00:00,2,2
2018-01-09 02:30:00,68.56,151.49,4076,02:30:00,2,2
2018-01-09 03:00:00,66.64,174.35,4022,03:00:00,3,2
2018-01-09 03:30:00,58.66,181.04,4055,03:30:00,3,2
2018-01-09 04:00:00,56.79,161.31,4110,04:00:00,4,2
2018-01-09 04:30:00,55.68,170.65,4211,04:30:00,4,2
2018-01-09 05:00:00,58.32,181.55,4315,05:00:00,5,2
2018-01-09 05:30:00,57.54,172.27,4471,05:30:00,5,2
2018-01-09 06:00:00,57.88,195.85,4648,06:00:00,6,2
2018-01-09 06:30:00,68.04,236.7,4893,06:30:00,6,2
2018-01-09 07:00:00,75.92,225.73,5046,07:00:00,7,2
2018-01-09 07:30:00,77.98,173.55,5064,07:30:00,7,2
2018-01-09 08:00:00,78.13,201.95,5134,08:00:00,8,2
2018-01-09 08:30:00,74.01,244.91,5140,08:30:00,8,2
2018-01-09 09:00:00,74.04,259.38,5135,09:00:00,9,2
2018-01-09 09:30:00,76.04,251.13,5122,09:30:00,9,2
2018-01-09 10:00:00,74.59,243.57,5155,10:00:00,10,2
